Module Marks Summer 2013. ,,,,,
Undergraduate Degree Students,,,,,
Some qualifications are excluded (THEO COMDEG LOCDEG COMMST DEFT & DISDEG),,,,,
"Includes block codes 1,51,5S,R2 and 2 but excludes RB (year long)",,,,,
,,,,,
,,,,,
Qual Code,Qual Description,Year,Module,Mark,Grade
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,73,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN203,,EXEMPTION
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,50,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,59,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,65,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,72,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,,EXEMPTION
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN221,,EXEMPTION
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN222,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN222,64,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN222,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN222,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN222,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,2,AN222,68,PASS
